time,value
6.57,156291
6.58,156291
6.59,156291
6.6000000000000005,156291
6.61,156291
6.62,156291
6.63,156291
6.640000000000001,156291
6.65,156291
6.66,156291
6.67,156291
6.68,156291
6.69,156291
6.7,156291
6.71,156291
6.72,156291
6.73,156291
6.74,156291
6.75,156291
6.76,156291
6.7700000000000005,156291
6.78,156291
6.79,156291
6.8,156291
6.8100000000000005,156291
6.82,156291
6.83,156291
6.84,156291
6.8500000000000005,156291
6.86,156291
6.87,156291
6.88,156291
6.890000000000001,156291
6.9,156291
6.91,156291
6.92,156291
6.93,156291
6.94,156291
6.95,156291
6.96,156291
6.97,156291
6.98,156291
6.99,156291
7.0,156291
7.01,156291
7.0200000000000005,156291
7.03,156291
7.04,156291
7.05,156291
7.0600000000000005,156291
7.07,156291
7.08,156291
7.09,156291
7.1000000000000005,156291
7.11,156291
7.12,156291
7.13,156292
7.140000000000001,156292
7.15,156292
7.16,156292
7.17,156292
7.18,156292
7.19,156292
7.2,156292
7.21,156292
7.22,156292
7.23,156292
7.24,156292
7.25,156292
7.26,156292
7.2700000000000005,156292
7.28,156292
7.29,156292
7.3,156292
7.3100000000000005,156292
7.32,156292
7.33,156292
7.34,156292
7.3500000000000005,156292
7.36,156292
7.37,156292
7.38,156292
7.390000000000001,156292
7.4,156292
7.41,156292
7.42,156292
7.43,156292
7.44,156292
7.45,156292
7.46,156292
7.47,156292
7.48,156292
7.49,156292
7.5,156292
7.51,156292
7.52,156292
7.53,156292
7.54,156292
7.55,156292
7.56,156292
7.57,156292
7.58,156292
7.59,156292
7.6,156292
7.609999999999999,156292
7.62,156292
7.63,156292
7.64,156292
7.6499999999999995,156292
7.66,156292
7.67,156292
7.68,156292
7.6899999999999995,156292
7.7,156292
7.71,156292
7.72,156292
7.7299999999999995,156292
7.74,156292
7.75,156292
7.76,156292
7.77,156292
7.78,156292
7.79,156292
7.8,156292
7.81,156292
7.82,156292
7.83,156292
7.84,156292
7.85,156292
7.859999999999999,156292
7.87,156292
7.88,156292
7.89,156292
7.8999999999999995,156292
7.91,156292
7.92,156292
7.93,156292
7.9399999999999995,156292
7.95,156292
7.96,156292
7.97,156292
7.9799999999999995,156292
7.99,156292
8.0,156292
8.01,156292
8.02,156292
8.030000000000001,156292
8.04,156292
8.05,156292
8.059999999999999,156292
8.07,156292
8.08,156292
8.09,156292
8.1,156292
8.11,156292
8.120000000000001,156292
8.129999999999999,156292
8.14,156292
8.149999999999999,156292
8.16,156292
8.17,156292
8.18,156292
8.19,156292
8.2,156292
8.21,156292
8.219999999999999,156292
8.23,156292
8.24,156292
8.25,156292
8.26,156292
8.27,156292
8.280000000000001,156292
8.29,156292
8.3,156292
8.309999999999999,156292
8.32,156292
8.33,156292
8.34,156292
8.35,156292
8.36,156292
8.370000000000001,156292
8.379999999999999,156292
8.39,156292
8.399999999999999,156292
8.41,156292
8.42,156292
8.43,156292
8.44,156292
8.45,156292
8.46,156292
8.469999999999999,156292
8.48,156292
8.49,156292
8.5,156292
8.51,156292
8.52,156292
8.530000000000001,156292
8.54,156292
8.55,156292
8.559999999999999,156292
8.57,156292
8.58,156292
8.59,156292
8.6,156292
8.61,156292
8.620000000000001,156292
8.629999999999999,156292
8.64,156292
8.649999999999999,156292
8.66,156292
8.67,156292
8.68,156292
8.69,156292
8.7,156292
8.71,156292
8.719999999999999,156292
8.73,156292
8.74,156292
8.75,156292
8.76,156292
8.77,156292
8.780000000000001,156292
8.79,156292
8.8,156292
8.809999999999999,156292
8.82,156292
8.83,156292
8.84,156292
8.85,156292
8.86,156292
8.870000000000001,156292
8.879999999999999,156292
8.89,156292
8.899999999999999,156292
8.91,156292
8.92,156292
8.93,156292
8.94,156292
8.95,156292
8.96,156292
8.969999999999999,156292
8.98,156292
8.99,156292
9.0,156292
9.01,156292
9.02,156292
9.030000000000001,156292
9.04,156292
9.05,156292
9.059999999999999,156292
9.07,156292
9.08,156292
9.09,156292
9.1,156292
9.11,156292
9.120000000000001,156292
9.129999999999999,156292
9.14,156292
9.149999999999999,156292
9.16,156292
9.17,156292
9.18,156292
9.19,156292
9.2,156292
9.21,156292
9.219999999999999,156292
9.23,156292
9.24,156292
9.25,156292
9.26,156292
9.27,156292
9.280000000000001,156292
9.29,156292
9.3,156292
9.309999999999999,156292
9.32,156292
9.33,156292
9.34,156292
9.35,156292
9.36,156292
9.370000000000001,156292
9.379999999999999,156292
9.39,156292
9.399999999999999,156292
9.41,156292
9.42,156292
9.43,156292
9.44,156292
9.45,156292
9.46,156292
9.469999999999999,156292
9.48,156292
9.49,156292
9.5,156292
9.51,156292
9.52,156292
9.530000000000001,156292
9.54,156292
9.55,156292
9.559999999999999,156292
9.57,156292
9.58,156292
9.59,156292
9.6,156292
9.61,156292
9.620000000000001,156292
9.629999999999999,156292
9.64,156292
9.649999999999999,156292
9.66,156292
9.67,156292
9.68,156292
9.69,156292
9.7,156292
9.71,156292
9.719999999999999,156292
9.73,156292
9.74,156292
9.75,156292
9.76,156292
9.77,156292
9.780000000000001,156292
9.79,156292
9.8,156292
9.809999999999999,156292
9.82,156292
9.83,156292
9.84,156292
9.85,156292
9.86,156292
9.870000000000001,156292
9.879999999999999,156292
9.89,156292
9.899999999999999,156292
9.91,156292
9.92,156292
9.93,156292
9.94,156292
9.95,156292
9.96,156292
9.969999999999999,156292
9.98,156292
9.99,156292
10.0,156292
10.01,156292
10.02,156292
10.030000000000001,156292
10.04,156292
10.05,156292
10.059999999999999,156292
10.07,156292
10.08,156292
10.09,156292
10.1,156292
10.11,156292
10.120000000000001,156292
10.129999999999999,156292
10.14,156292
10.149999999999999,156292
10.16,156292
10.17,156292
10.18,156292
10.19,156292
10.2,156292
10.21,156292
10.219999999999999,156292
10.23,156292
10.24,156292
10.25,156292
10.26,156292
10.27,156292
10.280000000000001,156292
10.29,156292
10.3,156292
10.309999999999999,156292
10.32,156292
10.33,156292
10.34,156292
10.35,156292
10.36,156292
10.370000000000001,156292
10.379999999999999,156292
10.39,156292
10.399999999999999,156292
10.41,156292
10.42,156292
10.43,156292
10.44,156292
10.45,156292
10.46,156292
10.469999999999999,156292
10.48,156292
10.49,156292
10.5,156292
10.51,156292
10.52,156292
10.530000000000001,156292
10.54,156292
10.55,156292
10.559999999999999,156292
10.57,156292
10.58,156292
10.59,156292
10.6,156292
10.61,156292
10.620000000000001,156292
10.629999999999999,156292
10.64,156292
10.649999999999999,156292
10.66,156292
10.67,156292
10.68,156292
10.69,156292
10.7,156292
10.71,156292
10.719999999999999,156292
10.73,156292
10.74,156292
10.75,156292
10.76,156292
10.77,156292
10.780000000000001,156292
10.79,156292
10.8,156292
10.809999999999999,156292
10.82,156292
10.83,156292
10.84,156292
10.85,156292
10.86,156292
10.870000000000001,156292
10.879999999999999,156292
10.89,156292
10.9,156292
10.91,156292
10.92,156292
10.93,156292
10.94,156292
10.95,156292
10.96,156292
10.969999999999999,156292
10.98,156292
10.99,156292
11.0,156292
11.01,156292
11.02,156292
11.03,156292
11.04,156292
11.05,156292
11.06,156292
11.07,156292
11.08,156292
11.09,156292
11.1,156292
11.11,156292
11.120000000000001,156292
11.129999999999999,156292
11.14,156292
11.15,156292
11.16,156292
11.17,156292
11.18,156292
11.19,156292
11.2,156292
11.21,156292
11.219999999999999,156292
11.23,156292
11.24,156292
11.25,156292
11.26,156292
11.27,156292
11.28,156292
11.29,156292
11.3,156292
11.31,156292
11.32,156292
11.33,156292
11.34,156292
11.35,156292
11.36,156292
11.370000000000001,156292
11.379999999999999,156292
11.39,156292
11.4,156292
11.41,156292
11.42,156292
11.43,156292
11.44,156292
11.45,156292
11.46,156292
11.469999999999999,156292
11.48,156292
11.49,156292
11.5,156292
11.51,156292
11.52,156292
11.53,156292
11.54,156292
11.55,156292
11.56,156292
11.57,156292
11.58,156292
11.59,156292
11.6,156292
11.61,156292
11.620000000000001,156292
11.629999999999999,156292
11.64,156292
11.65,156292
11.66,156292
11.67,156292
11.68,156292
11.69,156292
11.7,156292
11.71,156292
11.719999999999999,156292
11.73,156292
11.74,156292
11.75,156292
11.76,156292
11.77,156292
11.78,156292
11.79,156292
11.8,156292
11.81,156292
11.82,156292
